,tweet_id,retweet_count,favorite_count
0,666020888022790144,498,2529
1,666029285002620928,46,125
2,666033412701032448,43,123
3,666044226329800704,136,292
4,666049248165822464,42,106
5,666050758794694656,57,130
6,666051853826850816,831,1195
7,666055525042405376,235,428
8,666057090499244032,138,289
9,666058600524156928,57,109
10,666063827256086528,213,465
11,666071193221509120,58,142
12,666073100786774016,159,315
13,666082916733198336,44,113
14,666094000022159360,72,161
15,666099513787052032,66,151
16,666102155909144576,11,78
17,666104133288665088,6389,14030
18,666268910803644416,35,100
19,666273097616637952,76,170
20,666287406224695296,63,143
21,666293911632134144,344,490
22,666337882303524864,90,191
23,666345417576210432,132,286
24,666353288456101888,71,215
25,666362758909284352,560,759
26,666373753744588800,89,182
27,666396247373291520,83,160
28,666407126856765440,40,106
29,666411507551481856,322,434
30,666418789513326592,45,122
31,666421158376562688,111,312
32,666428276349472768,82,163
33,666430724426358784,195,310
34,666435652385423360,53,162
35,666437273139982336,47,122
36,666447344410484736,20,102
37,666454714377183232,208,514
38,666644823164719104,80,228
39,666649482315059200,620,1113
40,666691418707132416,47,185
41,666701168228331520,219,424
42,666739327293083648,66,233
43,666776908487630848,174,347
44,666781792255496192,192,383
45,666786068205871104,484,755
46,666804364988780544,92,239
47,666817836334096384,249,515
48,666826780179869696,97,252
49,666835007768551424,80,213
50,666837028449972224,553,812
51,666983947667116032,982,2540
52,666996132027977728,94,243
53,667012601033924608,224,442
54,667044094246576128,51,182
55,667062181243039744,54,215
56,667065535570550784,46,166
57,667070482143944704,14,81
58,667073648344346624,121,402
59,667090893657276416,126,331
60,667119796878725120,127,328
61,667138269671505920,2212,4596
62,667152164079423488,17153,47706
63,667160273090932736,62,256
64,667165590075940864,1143,2685
65,667171260800061440,91,221
66,667174963120574464,84,243
67,667176164155375616,464,610
68,667177989038297088,55,190
69,667182792070062080,6233,14340
70,667188689915760640,418,742
71,667192066997374976,108,384
72,667200525029539840,260,612
73,667211855547486208,242,491
74,667369227918143488,164,365
75,667393430834667520,56,194
76,667405339315146752,220,465
77,667435689202614272,84,303
78,667437278097252352,239,448
79,667443425659232256,583,780
80,667453023279554560,91,312
81,667455448082227200,60,191
82,667470559035432960,100,257
83,667491009379606528,230,533
84,667495797102141440,272,521
85,667502640335572992,221,535
86,667509364010450944,2149,6801
87,667517642048163840,193,367
88,667524857454854144,1118,1705
